name,set,quantity,type,color,altArt,overnumbered,image
Bilgewater Bully,OGN,0,UNIT,,false,false,bilgewater-bully-ogn.avif
Black Flame Altar,UNL,0,BATTLEFIELD,,false,false,black-flame-altar-unl.avif
Black Market Broker,SFD,0,UNIT,,false,false,black-market-broker-sfd.avif
Black Rose Dignitary,UNL,0,UNIT,,false,false,black-rose-dignitary-unl.avif
Blade Twirler,VEN,0,UNIT,,false,false,blade-twirler-ven.avif
Blast Cone,UNL,0,GEAR,,false,false,blast-cone-unl.avif
Blast Corps Cadet,SFD,0,UNIT,,false,false,blast-corps-cadet-sfd.avif
Blastcone Fae,OGN,0,UNIT,,false,false,blastcone-fae-ogn.avif
Blazing Scorcher,OGN,0,UNIT,,false,false,blazing-scorcher-ogn.avif
Blighted Battleaxe,UNL,0,GEAR,,false,false,blighted-battleaxe-unl.avif
Blind Fury,OGN,0,SPELL,,false,false,blind-fury-ogn.avif
Block,OGN,0,SPELL,,false,false,block-ogn.avif
Blood Money,SFD,0,SPELL,,false,false,blood-money-sfd.avif
Blood Rose,UNL,0,GEAR,,false,false,blood-rose-unl.avif
Body Rune,VEN,0,RUNE,,false,false,body-rune-ven.avif
Bonds Of Strength,SFD,0,,,false,false,bonds-of-strength-sfd.avif
Bone Skewer,UNL,0,SPELL,,false,false,bone-skewer-unl.avif
Brazen Buccaneer,OGN,0,UNIT,,false,false,brazen-buccaneer-ogn.avif
Brittle Steel,VEN,0,SPELL,,false,false,brittle-steel-ven.avif
Brush,UNL,0,BATTLEFIELD,,false,false,brush-unl.avif
Bubble Bot,SFD,0,UNIT,,false,false,bubble-bot-sfd.avif
Buhru Captain,SFD,0,,,false,false,buhru-captain-sfd.avif
Bullet Time,OGN,0,,,false,false,bullet-time-ogn.avif
Bushwhack,SFD,0,,,false,false,bushwhack-sfd.avif
Caitlyn Patrolling,OGN,0,,,false,false,caitlyn-patrolling-ogn.avif
Call To Battle,UNL,0,,,false,false,call-to-battle-unl.avif
Call To Glory,OGN,0,,,false,false,call-to-glory-ogn.avif
Called Shot,SFD,0,,,false,false,called-shot-sfd.avif
Calm Rune,OGN,0,,,true,false,calm-rune-ogn-a.avif
Calm Rune,VEN,0,,,false,false,calm-rune-ven.avif
Cannon Barrage,OGN,0,,,false,false,cannon-barrage-ogn.avif
Captain Farron,OGN,0,,,false,false,captain-farron-ogn.avif
Carnivorous Snapvine,OGN,0,,,false,false,carnivorous-snapvine-ogn.avif
Carrion Dredger,UNL,0,,,false,false,carrion-dredger-unl.avif
Catalyst Of Aeons,OGN,0,,,false,false,catalyst-of-aeons-ogn.avif
Cemetery Attendant,OGN,0,,,false,false,cemetery-attendant-ogn.avif
Chakram Dancer,UNL,0,,,false,false,chakram-dancer-unl.avif
Challenge,OGN,0,,,false,false,challenge-ogn.avif
Chaos Rune,VEN,0,,,false,false,chaos-rune-ven.avif
Charm,OGN,0,,,false,false,charm-ogn.avif
Chemtech Enforcer,OGN,0,,,false,false,chemtech-enforcer-ogn.avif
Cithria Of Cloudfield,OGN,0,,,false,false,cithria-of-cloudfield-ogn.avif
Clash Of Giants,UNL,0,,,false,false,clash-of-giants-unl.avif
Cleave,OGN,0,,,false,false,cleave-ogn.avif
Clockwork Keeper,OGN,0,,,false,false,clockwork-keeper-ogn.avif
Cloth Armor,SFD,0,,,false,false,cloth-armor-sfd.avif
Combat Chef,SFD,0,,,false,false,combat-chef-sfd.avif
Combat Experience,UNL,0,,,false,false,combat-experience-unl.avif
Concentrate,UNL,0,,,false,false,concentrate-unl.avif
Confront,OGN,0,,,false,false,confront-ogn.avif
Consult The Past,OGN,0,,,false,false,consult-the-past-ogn.avif
Consuming Curse,VEN,0,,,false,false,consuming-curse-ven.avif
Convergent Mutation,OGN,0,,,false,false,convergent-mutation-ogn.avif
Crackshot Corsair,OGN,0,,,false,false,crackshot-corsair-ogn.avif
Crescent Guardian,UNL,0,,,false,false,crescent-guardian-unl.avif
Crescent Strike,UNL,0,,,false,false,crescent-strike-unl.avif
Crimson Pigeons,UNL,0,,,false,false,crimson-pigeons-unl.avif
Crowd Favorite,UNL,0,,,false,false,crowd-favorite-unl.avif
Cruel Patron,OGN,0,,,false,false,cruel-patron-ogn.avif
Cull The Weak,OGN,0,,,false,false,cull-the-weak-ogn.avif
Dangerous Duo,OGN,0,,,false,false,dangerous-duo-ogn.avif
Daring Poro,OGN,0,,,false,false,daring-poro-ogn.avif
Darius Hand Of Noxus,OGN,0,,,false,false,darius-hand-of-noxus-ogn.avif
Darius Trifarian,OGN,0,,,false,false,darius-trifarian-ogn.avif
Dauntless Vanguard,SFD,0,,,false,false,dauntless-vanguard-sfd.avif
Deadly Flourish,UNL,0,,,false,false,deadly-flourish-unl.avif
Death From Below,UNL,0,,,false,false,death-from-below-unl.avif
Decree Of Rage,VEN,0,,,false,false,decree-of-rage-ven.avif
Defy,OGN,0,,,false,false,defy-ogn.avif
Demacian Diplomat,UNL,0,,,false,false,demacian-diplomat-unl.avif
Deserts Call,SFD,0,,,false,false,deserts-call-sfd.avif
Detonate,SFD,0,,,false,false,detonate-sfd.avif
Diana Lunari,UNL,0,,,false,false,diana-lunari-unl.avif
Disarming Rake,SFD,0,,,false,false,disarming-rake-sfd.avif
Discipline,OGN,0,,,false,false,discipline-ogn.avif
Disintegrate,OGN,0,,,false,false,disintegrate-ogn.avif
Disposal Order,UNL,0,,,false,false,disposal-order-unl.avif
Divining Shells,UNL,0,,,false,false,divining-shells-unl.avif
Dorans Blade,SFD,0,,,false,false,dorans-blade-sfd.avif
Dorans Ring,SFD,0,,,false,false,dorans-ring-sfd.avif
Dorans Shield,SFD,0,,,false,false,dorans-shield-sfd.avif
Double Trouble,UNL,0,,,false,false,double-trouble-unl.avif
Downstage Dramatics,UNL,0,,,false,false,downstage-dramatics-unl.avif
Dr Mundo Expert,OGN,0,,,false,false,dr-mundo-expert-ogn.avif
Drag Under,SFD,0,,,false,false,drag-under-sfd.avif
Dragons Rage,OGN,0,,,false,false,dragons-rage-ogn.avif
Dragonsoul Sage,UNL,0,,,false,false,dragonsoul-sage-unl.avif
Dramatic Visionary,UNL,0,,,false,false,dramatic-visionary-unl.avif
Dune Drake,OGN,0,,,false,false,dune-drake-ogn.avif
Dune Surfer,VEN,0,,,false,false,dune-surfer-ven.avif
Dusk Rose Lab,UNL,0,,,false,false,dusk-rose-lab-unl.avif
Eager Apprentice,OGN,0,,,false,false,eager-apprentice-ogn.avif
Eclipse Dragon,VEN,0,,,false,false,eclipse-dragon-ven.avif
Eclipse Herald,OGN,0,,,false,false,eclipse-herald-ogn.avif
Eclipse,UNL,0,,,false,false,eclipse-unl.avif
Ekko Recurrent,OGN,0,,,false,false,ekko-recurrent-ogn.avif
Ember Monk,OGN,0,,,false,false,ember-monk-ogn.avif
Eminent Benefactor,SFD,0,,,false,false,eminent-benefactor-sfd.avif
Emperors Divide,SFD,0,,,false,false,emperors-divide-sfd.avif
En Garde,OGN,0,,,false,false,en-garde-ogn.avif
Energy Conduit,OGN,0,,,false,false,energy-conduit-ogn.avif
Enthralling Protector,UNL,0,,,false,false,enthralling-protector-unl.avif
Enthusiastic Promoter,UNL,0,,,false,false,enthusiastic-promoter-unl.avif
Evelynn Entrancing,UNL,0,,,false,false,evelynn-entrancing-unl.avif
Evershade Stalker,UNL,0,,,false,false,evershade-stalker-unl.avif
Existential Dread,UNL,0,,,false,false,existential-dread-unl.avif
Eye Of The Herald,SFD,0,,,false,false,eye-of-the-herald-sfd.avif
Ezreal Prodigy,VEN,0,,,false,false,ezreal-prodigy-ven.avif
Facebreaker,OGN,0,,,false,false,facebreaker-ogn.avif
Factory Recall,SFD,0,,,false,false,factory-recall-sfd.avif
Fading Memories,OGN,0,,,false,false,fading-memories-ogn.avif
Fae Porter,SFD,0,,,false,false,fae-porter-sfd.avif
Faithful Manufactor,OGN,0,,,false,false,faithful-manufactor-ogn.avif
Falling Comet,OGN,0,,,false,false,falling-comet-ogn.avif
Fate Weaver,UNL,0,,,false,false,fate-weaver-unl.avif
Feral Strength,SFD,0,,,false,false,feral-strength-sfd.avif
Fight Or Flight,OGN,0,,,false,false,fight-or-flight-ogn.avif
Find Your Center,OGN,0,,,false,false,find-your-center-ogn.avif
Fiora Grand Duelist,SFD,0,,,false,false,fiora-grand-duelist-sfd.avif
Fiora Peerless,SFD,0,,,false,false,fiora-peerless-sfd.avif
Fiora Victorious,OGN,0,,,false,false,fiora-victorious-ogn.avif
Fiora Worthy,SFD,0,,,false,false,fiora-worthy-sfd.avif
First Mate,OGN,0,,,false,false,first-mate-ogn.avif
Flame Chompers,OGN,0,,,false,false,flame-chompers-ogn.avif
Flash,OGN,0,,,false,false,flash-ogn.avif
Flurry Of Blades,OGN,0,,,false,false,flurry-of-blades-ogn.avif
Flurry Of Feathers,UNL,0,,,false,false,flurry-of-feathers-unl.avif
Forbidding Waste,UNL,0,,,false,false,forbidding-waste-unl.avif
Forecaster,SFD,0,,,false,false,forecaster-sfd.avif
Forge Of The Fluft,SFD,0,,,false,false,forge-of-the-fluft-sfd.avif
Forge Of The Future,OGN,0,,,false,false,forge-of-the-future-ogn.avif
Forgotten Library,UNL,0,,,false,false,forgotten-library-unl.avif
Forgotten Monument,SFD,0,,,false,false,forgotten-monument-sfd.avif
Forsaken Baccai,VEN,0,,,false,false,forsaken-baccai-ven.avif
Fortified Position,OGN,0,,,false,false,fortified-position-ogn.avif
Fresh Beans,UNL,0,,,false,false,fresh-beans-unl.avif
Friendship,UNL,0,,,false,false,friendship-unl.avif
Frigid Jewel,UNL,0,,,false,false,frigid-jewel-unl.avif
Frigid Touch,SFD,0,,,false,false,frigid-touch-sfd.avif
Frisky Hunter,UNL,0,,,false,false,frisky-hunter-unl.avif
Frostcoat Cub,SFD,0,,,false,false,frostcoat-cub-sfd.avif
Frozen Fortress,UNL,0,,,false,false,frozen-fortress-unl.avif
Fury Rune,VEN,0,,,false,false,fury-rune-ven.avif
Galio Indefatigable,UNL,0,,,false,false,galio-indefatigable-unl.avif
Garbage Grabber,OGN,0,,,false,false,garbage-grabber-ogn.avif
Gardens Of Becoming,UNL,0,,,false,false,gardens-of-becoming-unl.avif
Gemcraft Seer,OGN,0,,,false,false,gemcraft-seer-ogn.avif
Gemhand Hunter,UNL,0,,,false,false,gemhand-hunter-unl.avif
Gentle Gemdragon,UNL,0,,,false,false,gentle-gemdragon-unl.avif
Get Excited,OGN,0,,,false,false,get-excited-ogn.avif
Grand Strategem,OGN,0,,,false,false,grand-strategem-ogn.avif
Grim Apothecary,UNL,0,,,false,false,grim-apothecary-unl.avif
Grim Resolve,UNL,0,,,false,false,grim-resolve-unl.avif
Grove Of The God Willow,OGN,0,,,false,false,grove-of-the-god-willow-ogn.avif
Guardian Angel,SFD,0,,,false,false,guardian-angel-sfd.avif
Guards,SFD,0,,,false,false,guards-sfd.avif
Guerilla Warfare,OGN,0,,,false,false,guerilla-warfare-ogn.avif
Gust,OGN,0,,,false,false,gust-ogn.avif
Gustwalker,UNL,0,,,false,false,gustwalker-unl.avif
Hallowed Tomb,OGN,0,,,false,false,hallowed-tomb-ogn.avif
Heedless Resurrection,UNL,0,,,false,false,heedless-resurrection-unl.avif
Heimerdinger Inventor,OGN,0,,,false,false,heimerdinger-inventor-ogn.avif
Herald Of Scales,OGN,0,,,false,false,herald-of-scales-ogn.avif
Herald Of Spring,UNL,0,,,false,false,herald-of-spring-unl.avif
Heroic Charge,UNL,0,,,false,false,heroic-charge-unl.avif
Hexdrinker,SFD,0,,,false,false,hexdrinker-sfd.avif
Hextech Ray,OGN,0,,,false,false,hextech-ray-ogn.avif
Hidden Blade,OGN,0,,,false,false,hidden-blade-ogn.avif
Honest Broker,SFD,0,,,false,false,honest-broker-sfd.avif
Honeyfruit,UNL,0,,,false,false,honeyfruit-unl.avif
Hunters Machete,UNL,0,,,false,false,hunters-machete-unl.avif
Hwei Brooding Painter,UNL,0,,,false,false,hwei-brooding-painter-unl.avif
Icevale Archer,UNL,0,,,false,false,icevale-archer-unl.avif
Imperial Decree,OGN,0,,,false,false,imperial-decree-ogn.avif
Inferna,UNL,0,,,false,false,inferna-unl.avif
Irelia Blade Dancer,SFD,0,,,false,false,irelia-blade-dancer-sfd.avif
Iron Ballista,OGN,0,,,false,false,iron-ballista-ogn.avif
Isolate,UNL,0,,,false,false,isolate-unl.avif
Ivern Green Father,UNL,0,,,false,false,ivern-green-father-unl.avif
Ivern Nurturer,UNL,0,,,false,false,ivern-nurturer-unl.avif
Jaull Fish,SFD,0,,,false,false,jaull-fish-sfd.avif
Jayce Man Of Progress,SFD,0,,,false,false,jayce-man-of-progress-sfd.avif
Jeweled Colossus,OGN,0,,,false,false,jeweled-colossus-ogn.avif
Jhin Murderous Artist,UNL,0,,,false,false,jhin-murderous-artist-unl.avif
Jinx Demolitionist,OGN,0,,,false,false,jinx-demolitionist-ogn.avif
Jinx Loose Cannon,OGN,0,,,false,false,jinx-loose-cannon-ogn.avif
Kai'sa Evolutionary,OGN,0,,,false,false,kaisa-evolutionary-ogn.avif
Kai'sa Survivor,VEN,0,,,false,false,kaisa-survivor-ven.avif
Karma Channeler,OGN,0,,,false,false,karma-channeler-ogn.avif
Karthus Eternal,OGN,0,,,false,false,karthus-eternal-ogn.avif
Khazix Mutating Horror,UNL,0,,,false,false,khazix-mutating-horror-unl.avif
Khazix Voidreaver,UNL,0,,,false,false,khazix-voidreaver-unl.avif
Kinkou Initiate,UNL,0,,,false,false,kinkou-initiate-unl.avif
Kinkou Monk,OGN,0,,,false,false,kinkou-monk-ogn.avif
Kraken Hunter,OGN,0,,,false,false,kraken-hunter-ogn.avif
Laurent Bladekeeper,SFD,0,,,false,false,laurent-bladekeeper-sfd.avif
Laurent Duelist,SFD,0,,,false,false,laurent-duelist-sfd.avif
Leblanc Deceiver,UNL,0,,,false,false,leblanc-deceiver-unl.avif
Leblanc Everywhere At Once,UNL,0,,,true,false,leblanc-everywhere-at-once-unl-a.avif
Leblanc Fragmented,UNL,0,,,false,false,leblanc-fragmented-unl.avif
Lecturing Yordle,OGN,0,,,false,false,lecturing-yordle-ogn.avif
Lee Sin Ascetic,OGN,0,,,true,false,lee-sin-ascetic-ogn-a.avif
Lee Sin Ascetic,OGN,0,,,false,false,lee-sin-ascetic-ogn.avif
Lee Sin Blind Monk,OGN,0,,,false,false,lee-sin-blind-monk-ogn.avif
Lee Sin Centered,OGN,0,,,false,false,lee-sin-centered-ogn.avif
Legion Rearguard,OGN,0,,,false,false,legion-rearguard-ogn.avif
Leona Determined,OGN,0,,,false,false,leona-determined-ogn.avif
Lillia Bashful Bloom,UNL,0,,,false,false,lillia-bashful-bloom-unl.avif
Lillia Fae Fawn,UNL,0,,,false,false,lillia-fae-fawn-unl.avif
Lillia Protector Of Dreams,UNL,0,,,false,false,lillia-protector-of-dreams-unl.avif
Long Sword,SFD,0,,,false,false,long-sword-sfd.avif
Lord Broadmane,UNL,0,,,false,false,lord-broadmane-unl.avif
Lotus Trap,UNL,0,,,false,false,lotus-trap-unl.avif
Loyal Poro,UNL,0,,,false,false,loyal-poro-unl.avif
Loyal Pup,SFD,0,,,false,false,loyal-pup-sfd.avif
Lucian Merciless,SFD,0,,,false,false,lucian-merciless-sfd.avif
Lunar Boon,UNL,0,,,false,false,lunar-boon-unl.avif
Lux Crownguard,VEN,0,,,false,false,lux-crownguard-ven.avif
Maddened Marauder,OGN,0,,,false,false,maddened-marauder-ogn.avif
Maduli The Gatekeeper,UNL,0,,,false,false,maduli-the-gatekeeper-unl.avif
Mageseeker Investigator,UNL,0,,,false,false,mageseeker-investigator-unl.avif
Magma Wurm,OGN,0,,,false,false,magma-wurm-ogn.avif
Malzahar Fanatic,OGN,0,,,false,false,malzahar-fanatic-ogn.avif
Mask Of Foresight,OGN,0,,,false,false,mask-of-foresight-ogn.avif
Master Bingwen,SFD,0,,,false,false,master-bingwen-sfd.avif
Master Yi Tempered,UNL,0,,,false,false,master-yi-tempered-unl.avif
Master Yi Wuju Master,UNL,0,,,false,false,master-yi-wuju-master-unl.avif
Meditation,OGN,0,,,false,false,meditation-ogn.avif
Mega Mech,OGN,0,,,false,false,mega-mech-ogn.avif
Megatusk,UNL,0,,,false,false,megatusk-unl.avif
Mind Rune,OGN,0,,,true,false,mind-rune-ogn-a.avif
Mind Rune,UNL,0,,,true,false,mind-rune-unl-a.avif
Mind Rune,VEN,0,,,false,false,mind-rune-ven.avif
Mindsplitter,OGN,0,,,false,false,mindsplitter-ogn.avif
Minefield,SFD,0,,,false,false,minefield-sfd.avif
Minotaur Reckoner,SFD,0,,,false,false,minotaur-reckoner-sfd.avif
Mischievous Marai,UNL,0,,,false,false,mischievous-marai-unl.avif
Miss Fortune Bounty Hunter,OGN,0,,,false,false,miss-fortune-bounty-hunter-ogn.avif
Miss Fortune Captain,OGN,0,,,false,false,miss-fortune-captain-ogn.avif
Mister Root,UNL,0,,,false,false,mister-root-unl.avif
Mistfall,OGN,0,,,false,false,mistfall-ogn.avif
Mobilize,OGN,0,,,false,false,mobilize-ogn.avif
Monastery Of Hirana,OGN,0,,,false,false,monastery-of-hirana-ogn.avif
Monch,UNL,0,,,false,false,monch-unl.avif
Monster Harpoon,UNL,0,,,false,false,monster-harpoon-unl.avif
Moonlight Affliction,UNL,0,,,false,false,moonlight-affliction-unl.avif
Morbid Return,OGN,0,,,false,false,morbid-return-ogn.avif
Morgana Vindictive,VEN,0,,,false,false,morgana-vindictive-ven.avif
Mosstomper,UNL,0,,,false,false,mosstomper-unl.avif
Mountain Drake,OGN,0,,,false,false,mountain-drake-ogn.avif
Mushroom Pouch,OGN,0,,,false,false,mushroom-pouch-ogn.avif
Mutated Mouser,UNL,0,,,false,false,mutated-mouser-unl.avif
Mystic Poro,OGN,0,,,false,false,mystic-poro-ogn.avif
Nami Headstrong,UNL,0,,,false,false,nami-headstrong-unl.avif
Navori Fighting Pit,OGN,0,,,false,false,navori-fighting-pit-ogn.avif
Navori Scout,SFD,0,,,false,false,navori-scout-sfd.avif
Nilah Joyful Ascetic,UNL,0,,,false,false,nilah-joyful-ascetic-unl.avif
Nocturne Horrifying,OGN,0,,,false,false,nocturne-horrifying-ogn.avif
Noxian Drummer,OGN,0,,,false,false,noxian-drummer-ogn.avif
Noxian Guillotine,OGN,0,,,false,false,noxian-guillotine-ogn.avif
Noxus Hopeful,OGN,0,,,false,false,noxus-hopeful-ogn.avif
Noxus Saboteur,OGN,0,,,false,false,noxus-saboteur-ogn.avif
Oasis Raider,VEN,0,,,false,false,oasis-raider-ven.avif
Obelisk Of Power,OGN,0,,,false,false,obelisk-of-power-ogn.avif
Orb Of Regret,OGN,0,,,false,false,orb-of-regret-ogn.avif
Order Rune,VEN,0,,,false,false,order-rune-ven.avif
Order Rune,SFD,0,,,true,false,order-rune-sfd-a.avif
Order Rune,UNL,0,,,true,false,order-rune-unl-a.avif
Ornns Forge,SFD,0,,,false,false,ornns-forge-sfd.avif
Overt Operation,OGN,0,,,false,false,overt-operation-ogn.avif
Overzealous Fan,SFD,0,,,false,false,overzealous-fan-sfd.avif
Pack Of Wonders,OGN,0,,,false,false,pack-of-wonders-ogn.avif
Pakaa Cub,OGN,0,,,false,false,pakaa-cub-ogn.avif
Party Favos,OGN,0,,,false,false,party-favos-ogn.avif
Peak Guardian,OGN,0,,,false,false,peak-guardian-ogn.avif
Pendulum Blade,VEN,0,,,false,false,pendulum-blade-ven.avif
Perched Grimwyrm,SFD,0,,,false,false,perched-grimwyrm-sfd.avif
Perfect Execution,VEN,0,,,false,false,perfect-execution-ven.avif
Petal Pixie,UNL,0,,,false,false,petal-pixie-unl.avif
Petty Officer,OGN,0,,,false,false,petty-officer-ogn.avif
Piercing Light,SFD,0,,,false,false,piercing-light-sfd.avif
Pirates Haven,OGN,0,,,false,false,pirates-haven-ogn.avif
Pit Crew,OGN,0,,,false,false,pit-crew-ogn.avif
Pit Rookie,OGN,0,,,false,false,pit-rookie-ogn.avif
Playful Phantom,OGN,0,,,false,false,playful-phantom-ogn.avif
Plundering Poro,SFD,0,,,false,false,plundering-poro-sfd.avif
Poppy Defender Of The Meek,UNL,0,,,true,false,poppy-defender-of-the-meek-unl-a.avif
Poppy Defender Of The Meek,UNL,0,,,false,false,poppy-defender-of-the-meek-unl.avif
Poppy Keeper Of The Hammer,UNL,0,,,false,false,poppy-keeper-of-the-hammer-unl.avif
Poro Herder,OGN,0,,,false,false,poro-herder-ogn.avif
Portal Rescue,OGN,0,,,false,false,portal-rescue-ogn.avif
Possession,OGN,0,,,false,false,possession-ogn.avif
Pouty Poro,OGN,0,,,false,false,pouty-poro-ogn.avif
Power Nexus,SFD,0,,,false,false,power-nexus-sfd.avif
Prepared Neophyte,UNL,0,,,false,false,prepared-neophyte-unl.avif
Primal Strength,OGN,0,,,false,false,primal-strength-ogn.avif
Prize Of Progress,SFD,0,,,false,false,prize-of-progress-sfd.avif
Production Surge,SFD,0,,,false,false,production-surge-sfd.avif
Promising Future,OGN,0,,,false,false,promising-future-ogn.avif
Punch First,SFD,0,,,false,false,punch-first-sfd.avif
Punching Poro,VEN,0,,,false,false,punching-poro-ven.avif
Pyke Returned,UNL,0,,,false,false,pyke-returned-unl.avif
Rage Amplifier,VEN,0,,,false,false,rage-amplifier-ven.avif
Raging Firebrand,OGN,0,,,false,false,raging-firebrand-ogn.avif
Raging Soul,OGN,0,,,false,false,raging-soul-ogn.avif
Ravenbloom Student,OGN,0,,,false,false,ravenbloom-student-ogn.avif
Ravenborn Tome,OGN,0,,,false,false,ravenborn-tome-ogn.avif
Reavers Row,OGN,0,,,false,false,reavers-row-ogn.avif
Rebuke,OGN,0,,,false,false,rebuke-ogn.avif
Reckoners Arena,OGN,0,,,false,false,reckoners-arena-ogn.avif
Recruit,VEN,0,,,false,false,recruit-ven.avif
Reinforce,OGN,0,,,false,false,reinforce-ogn.avif
Reksai Swarm Queen,SFD,0,,,false,false,reksai-swarm-queen-sfd.avif
Renata Glasc Chem Baroness,SFD,0,,,false,false,renata-glasc-chem-baroness-sfd.avif
Renekton Rage Rueled,VEN,0,,,true,false,renekton-rage-rueled-ven-a.avif
Renekton Rage Rueled,VEN,0,,,false,false,renekton-rage-rueled-ven.avif
Rengar Pouncing,SFD,0,,,false,false,rengar-pouncing-sfd.avif
Rengar Unseen,UNL,0,,,false,false,rengar-unseen-unl.avif
Retreat,OGN,0,,,false,false,retreat-ogn.avif
Revna The Lorekeeper,UNL,0,,,false,false,revna-the-lorekeeper-unl.avif
Rhasa The Sunderer,OGN,0,,,false,false,rhasa-the-sunderer-ogn.avif
Ribbon Dancer,SFD,0,,,false,false,ribbon-dancer-sfd.avif
Ride The Wind,OGN,0,,,false,false,ride-the-wind-ogn.avif
Riposte,SFD,0,,,false,false,riposte-sfd.avif
Rippers Bay,UNL,0,,,false,false,rippers-bay-unl.avif
Riptide Rex,OGN,0,,,false,false,riptide-rex-ogn.avif
Royal Entourage,SFD,0,,,false,false,royal-entourage-sfd.avif
Royal Guard,SFD,0,,,false,false,royal-guard-sfd.avif
Ruined Rex,UNL,0,,,false,false,ruined-rex-unl.avif
Rune Prison,OGN,0,,,false,false,rune-prison-ogn.avif
Ruthless Strike,VEN,0,,,false,false,ruthless-strike-ven.avif
Sacred Shears,SFD,0,,,false,false,sacred-shears-sfd.avif
Sacrifice,UNL,0,,,false,false,sacrifice-unl.avif
Sai Scout,OGN,0,,,false,false,sai-scout-ogn.avif
Salvage,OGN,0,,,false,false,salvage-ogn.avif
Sandshifter,SFD,0,,,false,false,sandshifter-sfd.avif
Scorchclaw,UNL,0,,,false,false,scorchclaw-unl.avif
Scrapheap,OGN,0,,,false,false,scrapheap-ogn.avif
Scrapyard Champion,OGN,0,,,false,false,scrapyard-champion-ogn.avif
Scrutinizing Sergeant,UNL,0,,,false,false,scrutinizing-sergeant-unl.avif
Scryers Bloom,UNL,0,,,false,false,scryers-bloom-unl.avif
Sea Monkey,SFD,0,,,false,false,sea-monkey-sfd.avif
Seal Of Discord,OGN,0,,,false,false,seal-of-discord-ogn.avif
Serrated Dirk,SFD,0,,,false,false,serrated-dirk-sfd.avif
Sett Brawler,VEN,0,,,false,false,sett-brawler-ven.avif
Sett Kingpin,OGN,0,,,false,false,sett-kingpin-ogn.avif
Sett The Boss,OGN,0,,,false,false,sett-the-boss-ogn.avif
Shadow Assassin,VEN,0,,,false,false,shadow-assassin-ven.avif
Shadow Fiend,VEN,0,,,false,false,shadow-fiend-ven.avif
Shadow,UNL,0,,,false,false,shadow-unl.avif
Shadow Watcher,UNL,0,,,false,false,shadow-watcher-unl.avif
Shakedown,OGN,0,,,false,false,shakedown-ogn.avif
Shard Of Undoing,UNL,0,,,false,false,shard-of-undoing-unl.avif
